type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,11,30,40,37.16,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,40,50,42.39,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,50,60,47.59,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,60,70,48.79,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,70,80,54.01,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,80,90,58.81,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,90,100,63.98,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,100,250,58.04,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,250,500,46.45,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,500,1000,37.16,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,0,10,15.97,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,10,20,20.07,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,20,30,26.37,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,30,40,29.96,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,40,50,33.82,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,50,60,36.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,60,70,41.81,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,70,80,46.49,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,80,90,51.04,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,90,100,55.98,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,100,250,55.98,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,250,500,45.6,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,12,500,1000,43.14,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,0,10,21.25,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,10,20,26.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,20,30,31.57,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,30,40,36.72,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,40,50,41.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,50,60,47.66,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,60,70,52.57,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,70,80,57.92,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,80,90,63.19,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,90,100,64.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,100,250,63.44,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,250,500,45.92,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,13,500,1000,36.72,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,0,10,18.67,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,10,20,20.14,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,20,30,21.62,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,30,40,23.7,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,40,50,25.69,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,50,60,27.88,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,60,70,30.53,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,70,80,34.21,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,80,90,36.43,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,90,100,39.96,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,100,250,31.69,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,250,500,28.61,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,14,500,1000,25.66,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,0,10,15.61,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,10,20,20.09,forfait,,,,SIFA 010126 - P U.xlsx
