type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,08,501.0,600.0,20.16,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,601.0,800.0,19.4,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,801.0,1000.0,19.16,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,1001.0,1500.0,18.34,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,1501.0,2000.0,18.1,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,1.0,10.0,21.85,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,11.0,20.0,23.19,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,21.0,30.0,25.8,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,31.0,40.0,29.14,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,41.0,50.0,33.8,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,51.0,60.0,38.51,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,61.0,70.0,42.5,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,71.0,80.0,45.83,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,81.0,90.0,49.49,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,91.0,100.0,51.27,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,101.0,200.0,48.67,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,201.0,300.0,46.91,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,301.0,400.0,46.42,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,401.0,500.0,46.14,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,501.0,600.0,44.28,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,601.0,800.0,44.24,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,801.0,1000.0,43.5,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,1001.0,1500.0,43.42,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,09,1501.0,2000.0,43.48,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,1.0,10.0,17.73,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,11.0,20.0,18.66,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,21.0,30.0,20.51,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,31.0,40.0,22.92,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,41.0,50.0,26.83,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,51.0,60.0,31.52,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,61.0,70.0,33.84,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,71.0,80.0,35.93,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,81.0,90.0,37.96,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,91.0,100.0,39.3,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,101.0,200.0,36.63,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,201.0,300.0,33.94,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,301.0,400.0,33.44,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,401.0,500.0,33.17,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,501.0,600.0,30.81,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,601.0,800.0,30.77,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,801.0,1000.0,28.36,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,1001.0,1500.0,28.28,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,10,1501.0,2000.0,28.09,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
