transporteur,type_envoi,base_calcul,zone_type,zone_valeur,dept_label,tranche_min,tranche_max,prix,unite,mini_perception,source_filename
Compte 100346,messagerie,poids,departement,08,ARDENNES,30,40.0,18.74,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,40,50.0,21.62,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,50,60.0,24.54,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,60,70.0,27.39,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,70,80.0,30.45,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,80,90.0,32.27,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,90,100.0,32.74,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,100,250.0,27.65,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,250,500.0,19.46,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,500,1000.0,17.7,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,0,10.0,19.26,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,10,20.0,23.98,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,20,30.0,29.23,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,30,40.0,34.3,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,40,50.0,39.99,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,50,60.0,44.47,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,60,70.0,50.36,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,70,80.0,54.83,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,80,90.0,60.03,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,90,100.0,64.51,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,100,250.0,62.82,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,250,500.0,57.2,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,09,ARIEGE,500,1000.0,55.38,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,0,10.0,15.78,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,10,20.0,16.88,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,20,30.0,18.24,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,30,40.0,21.23,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,40,50.0,23.95,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,50,60.0,26.68,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,60,70.0,29.88,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,70,80.0,32.86,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,80,90.0,34.08,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,90,100.0,35.26,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,100,250.0,36.96,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,250,500.0,20.94,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,10,AUBE,500,1000.0,16.8,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,0,10.0,21.49,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,10,20.0,26.71,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,20,30.0,31.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,30,40.0,37.16,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,40,50.0,42.39,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,50,60.0,47.59,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,60,70.0,48.79,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,70,80.0,54.01,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,80,90.0,58.81,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,90,100.0,63.98,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,100,250.0,58.04,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,250,500.0,46.45,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,11,AUDE,500,1000.0,37.16,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,0,10.0,15.97,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,10,20.0,20.07,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,20,30.0,26.37,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,30,40.0,29.96,forfait,,SIFA 010126 - P U-1.xlsx
